Date,Arena,Home_Team,Visitor_Team,player_name,player_id,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
"Wed, Dec 23, 2020",Amway Center,Orlando Magic,Miami Heat,Cole Anthony,anthoco01,19.183333333333334,3,5,.600,0,1,.000,0,0,,0,2,2,6,2,0,3,1,6,3
"Wed, Dec 23, 2020",Amway Center,Orlando Magic,Miami Heat,Michael Carter-Williams,cartemi01,17.75,2,5,.400,0,2,.000,0,0,,3,0,3,0,1,1,0,2,4,3
"Wed, Dec 23, 2020",Amway Center,Orlando Magic,Miami Heat,Khem Birch,birchkh01,14.45,2,4,.500,0,0,,2,2,1.000,1,1,2,0,1,0,0,3,6,6
"Wed, Dec 23, 2020",Wells Fargo Center,Philadelphia 76ers,Washington Wizards,Russell Westbrook,westbru01,36.3,9,22,.409,0,2,.000,3,5,.600,2,9,11,15,0,0,6,3,21,10
"Wed, Dec 23, 2020",Wells Fargo Center,Philadelphia 76ers,Washington Wizards,Bradley Beal,bealbr01,35.733333333333334,11,22,.500,3,8,.375,6,7,.857,0,2,2,3,4,0,6,3,31,6
"Wed, Dec 23, 2020",Wells Fargo Center,Philadelphia 76ers,Washington Wizards,Deni Avdija,avdijde01,28.1,2,2,1.000,2,2,1.000,1,2,.500,0,4,4,1,1,0,1,3,7,14
"Wed, Dec 23, 2020",Wells Fargo Center,Philadelphia 76ers,Washington Wizards,Thomas Bryant,bryanth01,25.55,5,13,.385,0,3,.000,0,1,.000,1,4,5,0,0,1,2,5,10,2
"Wed, Dec 23, 2020",Wells Fargo Center,Philadelphia 76ers,Washington Wizards,Isaac Bonga,bongais01,16.716666666666665,2,3,.667,1,1,1.000,0,1,.000,1,2,3,2,2,0,1,2,5,7
"Wed, Dec 23, 2020",Wells Fargo Center,Philadelphia 76ers,Washington Wizards,Ish Smith,smithis01,22.883333333333333,2,7,.286,1,2,.500,2,2,1.000,0,4,4,3,0,1,1,1,7,-21
"Wed, Dec 23, 2020",Wells Fargo Center,Philadelphia 76ers,Washington Wizards,Troy Brown Jr.,browntr01,22.433333333333334,1,3,.333,1,2,.500,0,0,,0,3,3,1,0,0,0,2,3,-23
"Wed, Dec 23, 2020",Wells Fargo Center,Philadelphia 76ers,Washington Wizards,DÄvis BertÄns,bertada01,20.133333333333333,4,7,.571,4,6,.667,2,2,1.000,0,3,3,1,0,1,0,0,14,-3
"Wed, Dec 23, 2020",Wells Fargo Center,Philadelphia 76ers,Washington Wizards,Robin Lopez,lopezro01,16.533333333333335,1,3,.333,1,1,1.000,0,0,,1,2,3,0,0,1,2,4,3,-16
"Wed, Dec 23, 2020",Wells Fargo Center,Philadelphia 76ers,Washington Wizards,Raul Neto,netora01,9.7,0,1,.000,0,0,,2,3,.667,0,0,0,1,0,0,0,0,2,-14
"Wed, Dec 23, 2020",Wells Fargo Center,Philadelphia 76ers,Washington Wizards,Moritz Wagner,wagnemo01,5.916666666666667,2,2,1.000,0,0,,0,0,,0,2,2,1,0,0,0,3,4,8
"Wed, Dec 23, 2020",Wells Fargo Center,Philadelphia 76ers,Washington Wizards,Joel Embiid,embiijo01,34.833333333333336,10,17,.588,1,1,1.000,8,9,.889,2,12,14,2,0,1,3,3,29,-2
"Wed, Dec 23, 2020",Wells Fargo Center,Philadelphia 76ers,Washington Wizards,Ben Simmons,simmobe01,32.416666666666664,7,12,.583,0,0,,2,6,.333,1,8,9,7,2,3,4,3,16,-2
"Wed, Dec 23, 2020",Wells Fargo Center,Philadelphia 76ers,Washington Wizards,Seth Curry,curryse01,32.266666666666666,4,8,.500,1,5,.200,4,4,1.000,0,0,0,4,2,0,1,4,13,-1
"Wed, Dec 23, 2020",Wells Fargo Center,Philadelphia 76ers,Washington Wizards,Tobias Harris,harrito02,31.133333333333333,3,13,.231,0,4,.000,4,4,1.000,4,4,8,0,0,1,2,4,10,-7
"Wed, Dec 23, 2020",Wells Fargo Center,Philadelphia 76ers,Washington Wizards,Danny Green,greenda02,18.266666666666666,1,6,.167,0,4,.000,0,0,,0,0,0,2,2,0,1,2,2,-27
"Wed, Dec 23, 2020",Wells Fargo Center,Philadelphia 76ers,Washington Wizards,Shake Milton,miltosh01,29.733333333333334,6,11,.545,2,4,.500,5,7,.714,0,1,1,3,3,0,0,3,19,33
"Wed, Dec 23, 2020",Wells Fargo Center,Philadelphia 76ers,Washington Wizards,Furkan Korkmaz,korkmfu01,20.183333333333334,4,9,.444,3,6,.500,0,0,,0,1,1,0,1,2,2,1,11,14
"Wed, Dec 23, 2020",Wells Fargo Center,Philadelphia 76ers,Washington Wizards,Mike Scott,scottmi01,16.866666666666667,1,3,.333,1,3,.333,0,0,,0,2,2,0,1,0,0,1,3,13
"Wed, Dec 23, 2020",Wells Fargo Center,Philadelphia 76ers,Washington Wizards,Dwight Howard,howardw01,13.166666666666666,2,2,1.000,0,0,,0,0,,3,7,10,2,0,1,2,3,4,8
"Wed, Dec 23, 2020",Wells Fargo Center,Philadelphia 76ers,Washington Wizards,Tyrese Maxey,maxeyty01,10.85,3,6,.500,0,1,.000,0,0,,0,2,2,2,0,0,1,0,6,3
"Wed, Dec 23, 2020",Wells Fargo Center,Philadelphia 76ers,Washington Wizards,Matisse Thybulle,thybuma01,0.2833333333333333,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
"Wed, Dec 23, 2020",Amalie Arena,Toronto Raptors,New Orleans Pelicans,Brandon Ingram,ingrabr01,37.333333333333336,10,19,.526,3,6,.500,1,2,.500,0,9,9,11,3,1,3,2,24,17
"Wed, Dec 23, 2020",Amalie Arena,Toronto Raptors,New Orleans Pelicans,Eric Bledsoe,bledser01,34.45,6,12,.500,4,8,.500,2,4,.500,0,2,2,6,1,1,4,1,18,4
"Wed, Dec 23, 2020",Amalie Arena,Toronto Raptors,New Orleans Pelicans,Steven Adams,adamsst01,30.616666666666667,4,6,.667,0,0,,0,0,,2,6,8,3,4,2,0,1,8,16
