Date,Arena,Home_Team,Visitor_Team,player_name,player_id,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
"Mon, Jan 2, 2023",Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,Tyrese Haliburton,halibty01,31.666666666666668,7,15,.467,2,4,.500,0,0,,0,6,6,8,2,0,7,1,16,-1
"Mon, Jan 2, 2023",Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,Myles Turner,turnemy01,31.383333333333333,9,14,.643,0,2,.000,0,0,,2,8,10,1,0,2,0,3,18,-1
"Mon, Jan 2, 2023",Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,Aaron Nesmith,nesmiaa01,30.3,3,12,.250,0,4,.000,4,4,1.000,2,3,5,1,0,0,1,4,10,-8
"Mon, Jan 2, 2023",Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,Buddy Hield,hieldbu01,30.283333333333335,7,11,.636,4,7,.571,1,1,1.000,0,5,5,4,0,0,0,1,19,0
"Mon, Jan 2, 2023",Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,Andrew Nembhard,nembhan01,19.666666666666668,2,4,.500,1,2,.500,0,0,,2,0,2,3,0,0,1,3,5,-13
"Mon, Jan 2, 2023",Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,Bennedict Mathurin,mathube01,27.05,6,9,.667,2,2,1.000,7,10,.700,0,3,3,0,1,0,2,0,21,21
"Mon, Jan 2, 2023",Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,T.J. McConnell,mccontj01,21.233333333333334,4,6,.667,0,1,.000,7,7,1.000,0,2,2,3,0,0,1,3,15,11
"Mon, Jan 2, 2023",Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,Jalen Smith,smithja04,16.616666666666667,5,10,.500,0,1,.000,1,2,.500,7,4,11,2,0,0,0,1,11,9
"Mon, Jan 2, 2023",Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,Oshae Brissett,brissos01,16.283333333333335,2,8,.250,1,2,.500,0,0,,2,0,2,0,1,0,0,2,5,9
"Mon, Jan 2, 2023",Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,Chris Duarte,duartch01,15.516666666666667,0,4,.000,0,2,.000,2,2,1.000,0,4,4,2,0,0,0,1,2,13
"Mon, Jan 2, 2023",Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,CJ McCollum,mccolcj01,39.06666666666667,9,16,.563,5,8,.625,3,4,.750,0,2,2,6,1,0,5,0,26,-8
"Mon, Jan 2, 2023",Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,Trey Murphy III,murphtr02,31.0,3,9,.333,2,6,.333,0,0,,0,6,6,0,0,1,0,2,8,5
"Mon, Jan 2, 2023",Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,Herbert Jones,joneshe01,29.45,4,7,.571,0,1,.000,0,0,,1,2,3,2,2,0,2,2,8,0
"Mon, Jan 2, 2023",Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,Jonas ValanÄiÅ«nas,valanjo01,28.4,5,9,.556,2,3,.667,0,0,,1,11,12,1,0,3,2,6,12,-5
"Mon, Jan 2, 2023",Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,Zion Williamson,willizi01,28.166666666666668,10,12,.833,0,0,,6,8,.750,0,6,6,7,0,0,5,1,26,6
"Mon, Jan 2, 2023",Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,Jaxson Hayes,hayesja02,19.45,3,6,.500,1,1,1.000,3,4,.750,0,2,2,1,0,2,0,3,10,-15
"Mon, Jan 2, 2023",Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,Willy HernangÃ³mez,hernawi01,17.316666666666666,4,7,.571,0,0,,1,1,1.000,4,4,8,1,0,0,0,4,9,-5
"Mon, Jan 2, 2023",Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,Naji Marshall,marshna01,15.4,4,11,.364,1,5,.200,1,1,1.000,2,3,5,0,0,0,2,2,10,-10
"Mon, Jan 2, 2023",Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,Devonte' Graham,grahade01,12.5,0,3,.000,0,3,.000,2,2,1.000,1,2,3,5,0,0,0,2,2,-1
"Mon, Jan 2, 2023",Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,Jose Alvarado,alvarjo01,12.45,0,4,.000,0,2,.000,0,0,,1,1,2,3,0,0,1,0,0,-9
"Mon, Jan 2, 2023",Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,Dyson Daniels,daniedy01,6.733333333333333,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
"Mon, Jan 2, 2023",Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,James Harden,hardeja01,38.3,8,19,.421,3,9,.333,8,10,.800,0,2,2,8,2,1,1,3,27,10
